10.99.1.1 - - [12/Jan/2025:18:21:24 +0000] "GET /javax.faces.resource/validation/validation.js.html?ln=primefaces&v=6.1 HTTP/1.1" 200 24353
10.99.1.1 - - [12/Jan/2025:18:21:24 +0000] "GET /javax.faces.resource/js/shCore.js.html?ln=sh HTTP/1.1" 200 75
10.99.1.1 - - [12/Jan/2025:18:21:24 +0000] "GET /javax.faces.resource/validation/beanvalidation.js.html?ln=primefaces&v=6.1 HTTP/1.1" 200 6108
10.99.1.1 - - [12/Jan/2025:18:21:24 +0000] "GET /javax.faces.resource/images/ui-icons_ffffff_256x240.png.html?ln=primefaces-omega HTTP/1.1" 200 4369
10.99.1.1 - - [12/Jan/2025:18:21:24 +0000] "GET /javax.faces.resource/images/ui-icons_454545_256x240.png.html?ln=primefaces-omega HTTP/1.1" 200 4369
10.99.1.1 - - [12/Jan/2025:18:21:24 +0000] "GET /javax.faces.resource/fonts/lato-regular-webfont.woff.html?ln=primefaces-omega HTTP/1.1" 200 36652
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /secured/shipment/index.html HTTP/1.1" 200 17063
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/layout/layout.css.html?ln=primefaces&v=6.1 HTTP/1.1" 200 464
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/fa/font-awesome.css.html?ln=primefaces&v=6.1 HTTP/1.1" 200 31273
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/jquery/jquery.js.html?ln=primefaces&v=6.1 HTTP/1.1" 200 107785
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/core.js.html?ln=primefaces&v=6.1 HTTP/1.1" 200 31198
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/css/shCore.css.html?ln=sh HTTP/1.1" 200 5184
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/js/shCore.js.html?ln=sh HTTP/1.1" 200 75
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/layout/layout.js.html?ln=primefaces&v=6.1 HTTP/1.1" 200 87747
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/components.css.html?ln=primefaces&v=6.1 HTTP/1.1" 200 78442
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/validation/beanvalidation.js.html?ln=primefaces&v=6.1 HTTP/1.1" 200 6108
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/jquery/jquery-plugins.js.html?ln=primefaces&v=6.1 HTTP/1.1" 200 248533
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/img/new.png.html?ln=sh HTTP/1.1" 200 1217
10.99.1.1 - - [12/Jan/2025:18:21:27 +0000] "GET /javax.faces.resource/img/excel2.png.html?ln=sh HTTP/1.1" 200 1659
